,date,open,close,high,low,volume,code
0,2012-02-16,4.127,4.241,4.437,4.12,123615.0,300290
1,2012-02-17,4.115,4.052,4.212,4.031,71835.0,300290
2,2012-02-20,4.072,4.277,4.302,4.069,74046.0,300290
3,2012-02-21,4.256,4.326,4.394,4.164,65343.0,300290
4,2012-02-22,4.326,4.534,4.57,4.263,65291.0,300290
5,2012-02-23,4.515,4.793,4.832,4.471,72522.0,300290
6,2012-02-24,4.72,4.638,4.72,4.599,60858.0,300290
7,2012-02-27,4.541,4.541,4.694,4.503,49174.0,300290
8,2012-02-28,4.539,4.57,4.643,4.449,36815.0,300290
9,2012-02-29,4.568,4.398,4.641,4.379,34461.0,300290
10,2012-03-01,4.348,4.459,4.544,4.309,28774.0,300290
11,2012-03-02,4.466,4.624,4.657,4.442,36903.0,300290
12,2012-03-05,4.633,4.628,4.716,4.556,35900.0,300290
13,2012-03-06,4.619,4.507,4.624,4.435,23752.0,300290
14,2012-03-07,4.418,4.638,4.793,4.415,42084.0,300290
15,2012-03-08,4.648,4.706,4.706,4.582,24871.0,300290
16,2012-03-09,4.716,4.781,4.825,4.65,31572.0,300290
17,2012-03-12,4.815,4.735,4.815,4.655,21534.0,300290
18,2012-03-13,4.733,4.839,4.89,4.689,30958.0,300290
19,2012-03-14,4.82,4.478,4.89,4.43,32588.0,300290
20,2012-03-15,4.483,4.432,4.534,4.384,21292.0,300290
21,2012-03-16,4.423,4.488,4.503,4.306,19384.0,300290
22,2012-03-19,4.466,4.486,4.503,4.386,13688.0,300290
23,2012-03-20,4.478,4.275,4.478,4.273,12587.0,300290
24,2012-03-21,4.321,4.164,4.348,4.079,16281.0,300290
25,2012-03-22,4.188,4.2,4.256,4.142,8902.0,300290
26,2012-03-26,4.152,4.147,4.164,4.091,7953.0,300290
27,2012-03-27,4.19,4.103,4.207,4.093,6738.0,300290
28,2012-03-28,4.077,3.839,4.103,3.796,13396.0,300290
29,2012-03-29,3.803,3.922,3.941,3.793,13422.0,300290
30,2012-03-30,3.922,3.844,3.934,3.82,9150.0,300290
31,2012-04-05,3.832,3.975,3.982,3.825,10066.0,300290
32,2012-04-06,3.948,3.96,3.997,3.917,8125.0,300290
33,2012-04-09,3.96,3.866,3.972,3.864,6572.0,300290
34,2012-04-10,3.851,3.982,3.989,3.694,14659.0,300290
35,2012-04-11,3.895,3.975,4.018,3.888,10292.0,300290
36,2012-04-12,3.975,4.045,4.047,3.926,10453.0,300290
37,2012-04-13,4.045,4.038,4.079,4.006,8256.0,300290
38,2012-04-16,4.033,4.018,4.045,3.965,6217.0,300290
39,2012-04-17,4.006,3.994,4.043,3.917,8637.0,300290
40,2012-04-18,4.018,4.079,4.096,3.975,12883.0,300290
41,2012-04-19,4.018,4.043,4.045,3.977,14523.0,300290
42,2012-04-20,4.016,3.999,4.035,3.953,11856.0,300290
43,2012-04-23,3.999,3.6,3.999,3.6,20967.0,300290
44,2012-04-24,3.556,3.433,3.597,3.287,16064.0,300290
45,2012-04-25,3.442,3.437,3.442,3.36,5857.0,300290
46,2012-04-26,3.44,3.394,3.45,3.365,5970.0,300290
47,2012-04-27,3.394,3.454,3.503,3.394,5959.0,300290
48,2012-05-02,3.488,3.474,3.525,3.454,5762.0,300290
49,2012-05-03,3.483,3.505,3.522,3.428,5829.0,300290
50,2012-05-04,3.505,3.609,3.619,3.505,9695.0,300290
51,2012-05-07,3.571,3.641,3.646,3.561,6991.0,300290
52,2012-05-08,3.585,3.634,3.667,3.585,8319.0,300290
53,2012-05-09,3.58,3.505,3.626,3.498,9771.0,300290
54,2012-05-10,3.505,3.529,3.583,3.503,5241.0,300290
55,2012-05-11,3.459,3.476,3.539,3.459,7008.0,300290
56,2012-05-14,3.486,3.442,3.508,3.437,5880.0,300290
57,2012-05-15,3.433,3.428,3.433,3.372,5111.0,300290
