,date,open,close,high,low,volume,code
0,2011-06-08,4.307,4.662,4.839,4.262,122089.0,300228
1,2011-06-09,4.555,4.473,4.66,4.402,62618.0,300228
2,2011-06-10,4.444,4.307,4.447,4.118,43282.0,300228
3,2011-06-13,4.276,4.409,4.519,4.245,25365.0,300228
4,2011-06-14,4.329,4.371,4.419,4.27,12497.0,300228
5,2011-06-15,4.385,4.354,4.555,4.344,17770.0,300228
6,2011-06-16,4.32,4.23,4.33,4.134,10852.0,300228
7,2011-06-17,4.208,4.225,4.298,4.183,8106.0,300228
8,2011-06-20,4.244,4.278,4.318,4.211,5161.0,300228
9,2011-06-21,4.304,4.462,4.509,4.278,13042.0,300228
10,2011-06-22,4.462,4.521,4.571,4.385,10874.0,300228
11,2011-06-23,4.493,4.794,4.893,4.444,18288.0,300228
12,2011-06-24,4.738,4.958,5.034,4.733,14618.0,300228
13,2011-06-27,4.958,5.268,5.341,4.913,16431.0,300228
14,2011-06-28,5.19,5.334,5.46,5.166,12475.0,300228
15,2011-06-29,5.336,5.209,5.345,5.176,7034.0,300228
16,2011-06-30,5.223,5.268,5.492,5.19,10622.0,300228
17,2011-07-01,5.266,5.407,5.547,5.224,10306.0,300228
18,2011-07-04,5.492,5.469,5.647,5.407,11481.0,300228
19,2011-07-05,5.438,5.469,5.5,5.376,7618.0,300228
20,2011-07-06,5.469,5.593,5.65,5.353,8565.0,300228
21,2011-07-07,5.638,5.523,5.793,5.523,10912.0,300228
22,2011-07-08,5.557,5.482,5.602,5.345,6337.0,300228
23,2011-07-11,5.728,5.485,5.728,5.386,7839.0,300228
24,2011-07-12,5.423,5.268,5.463,5.196,8284.0,300228
25,2011-07-13,5.277,5.421,5.421,5.136,31570.0,300228
26,2011-07-14,5.361,5.375,5.454,5.245,24899.0,300228
27,2011-07-15,5.392,5.513,5.702,5.337,16106.0,300228
28,2011-07-18,5.5,5.519,5.578,5.347,9961.0,300228
29,2011-07-19,5.505,5.965,6.008,5.392,17895.0,300228
30,2011-07-20,5.81,5.832,5.949,5.657,14328.0,300228
31,2011-07-21,5.765,5.747,5.869,5.658,5361.0,300228
32,2011-07-22,5.765,6.024,6.12,5.765,10973.0,300228
33,2011-07-25,5.962,5.702,6.112,5.671,9026.0,300228
34,2011-07-26,5.729,5.573,5.759,5.423,12491.0,300228
35,2011-07-27,5.526,5.97,5.977,5.461,11735.0,300228
36,2011-07-28,5.887,5.929,6.111,5.826,18195.0,300228
37,2011-07-29,5.926,5.714,5.926,5.632,11519.0,300228
38,2011-08-01,5.714,5.87,5.942,5.683,10266.0,300228
39,2011-08-02,5.781,6.05,6.081,5.533,21403.0,300228
40,2011-08-03,5.922,6.236,6.427,5.905,14883.0,300228
41,2011-08-04,6.225,6.165,6.422,6.089,7188.0,300228
42,2011-08-08,6.055,6.081,6.163,5.903,15447.0,300228
43,2011-08-09,5.92,6.385,6.585,5.918,10884.0,300228
44,2011-08-10,6.399,6.74,6.808,6.399,11517.0,300228
45,2011-08-11,6.664,6.685,6.887,6.586,10890.0,300228
46,2011-08-12,6.701,6.538,6.814,6.495,12203.0,300228
47,2011-08-15,6.583,6.977,7.003,6.583,18364.0,300228
48,2011-08-16,6.957,7.031,7.119,6.885,10432.0,300228
49,2011-08-17,6.988,7.034,7.173,6.907,9122.0,300228
50,2011-08-18,7.043,6.848,7.228,6.809,8593.0,300228
51,2011-08-19,6.794,6.967,7.11,6.741,7451.0,300228
52,2011-08-22,7.077,7.33,7.437,7.065,8469.0,300228
53,2011-08-23,7.437,7.437,7.483,7.127,7224.0,300228
54,2011-08-24,7.406,7.259,7.452,7.15,9081.0,300228
55,2011-08-25,7.234,7.096,7.282,6.91,8976.0,300228
56,2011-08-26,7.096,7.173,7.293,7.085,6015.0,300228
57,2011-08-30,7.251,6.848,7.254,6.848,6267.0,300228
58,2011-08-31,6.853,6.743,6.953,6.515,9509.0,300228
59,2011-09-01,6.685,6.662,6.879,6.555,4867.0,300228
60,2011-09-02,6.715,6.654,6.715,6.523,5253.0,300228
61,2011-09-05,6.554,6.427,6.582,6.368,5705.0,300228
62,2011-09-06,6.376,6.352,6.383,6.05,15411.0,300228
63,2011-09-07,6.276,6.563,6.644,6.276,9565.0,300228
64,2011-09-08,6.563,6.196,6.585,6.151,19113.0,300228
65,2011-09-09,6.16,6.259,6.382,6.073,8599.0,300228
66,2011-09-13,6.159,6.244,6.314,6.106,8750.0,300228
67,2011-09-14,6.269,6.287,6.287,6.135,5469.0,300228
68,2011-09-15,6.306,6.465,6.554,6.231,10277.0,300228
69,2011-09-16,6.503,6.389,6.566,6.383,3140.0,300228
70,2011-09-19,6.275,6.163,6.376,6.12,9184.0,300228
71,2011-09-20,6.151,6.182,6.267,6.058,3788.0,300228
72,2011-09-21,6.196,6.407,6.427,6.132,7749.0,300228
73,2011-09-22,6.349,6.197,6.453,6.183,5357.0,300228
74,2011-09-23,6.044,6.024,6.112,5.911,10445.0,300228
75,2011-09-26,6.015,5.857,6.081,5.813,7497.0,300228
76,2011-09-27,5.887,6.008,6.035,5.841,6843.0,300228
77,2011-09-28,6.166,6.027,6.194,5.956,7029.0,300228
78,2011-09-29,5.98,5.918,5.994,5.839,3151.0,300228
79,2011-09-30,5.857,5.864,5.956,5.733,4094.0,300228
80,2011-10-10,5.934,5.949,6.004,5.827,4468.0,300228
81,2011-10-11,6.182,5.994,6.182,5.827,4974.0,300228
82,2011-10-12,5.894,6.352,6.453,5.892,6145.0,300228
83,2011-10-13,6.352,6.476,6.499,6.295,10429.0,300228
84,2011-10-14,6.476,6.617,6.639,6.43,9973.0,300228
85,2011-10-17,6.726,6.599,6.771,6.512,4740.0,300228
86,2011-10-18,6.509,6.352,6.572,6.335,4139.0,300228
87,2011-10-19,6.354,6.259,6.476,6.217,3093.0,300228
88,2011-10-20,6.236,6.089,6.256,5.94,5800.0,300228
89,2011-10-21,5.965,5.872,6.118,5.81,6735.0,300228
90,2011-10-24,5.874,6.011,6.058,5.75,4758.0,300228
91,2011-10-25,6.042,6.176,6.349,5.942,5467.0,300228
92,2011-10-26,6.089,6.157,6.266,6.089,4415.0,300228
93,2011-10-27,6.19,6.134,6.345,6.08,4586.0,300228
94,2011-10-28,6.182,6.185,6.259,6.084,3526.0,300228
95,2011-10-31,6.214,6.399,6.42,6.185,7520.0,300228
96,2011-11-01,6.345,6.414,6.577,6.337,4635.0,300228
97,2011-11-02,6.267,6.504,6.538,6.259,4995.0,300228
98,2011-11-03,6.487,6.675,6.952,6.487,9493.0,300228
99,2011-11-04,6.709,6.707,6.885,6.617,3428.0,300228
100,2011-11-07,6.707,6.864,6.873,6.586,4557.0,300228
