,date,open,close,high,low,volume,code
0,2014-08-01,3.21,3.851,3.851,3.21,1876.0,603111
1,2014-08-04,4.235,4.235,4.235,4.235,825.0,603111
2,2014-08-05,4.658,4.658,4.658,4.658,794.0,603111
3,2014-08-06,5.124,5.124,5.124,5.124,1536.0,603111
4,2014-08-07,5.637,5.637,5.637,5.637,2801.0,603111
5,2014-08-08,6.199,6.199,6.199,6.199,5286.0,603111
6,2014-08-11,6.821,6.821,6.821,6.821,7791.0,603111
7,2014-08-12,7.504,6.902,7.504,6.844,312588.0,603111
8,2014-08-13,6.727,7.003,7.317,6.533,452178.0,603111
9,2014-08-14,6.852,6.634,7.026,6.568,295021.0,603111
10,2014-08-15,6.553,6.7,6.735,6.529,150406.0,603111
11,2014-08-18,6.689,6.755,6.813,6.634,169486.0,603111
12,2014-08-19,6.708,6.925,7.084,6.677,238642.0,603111
13,2014-08-20,6.84,7.616,7.616,6.789,269705.0,603111
14,2014-08-21,7.803,7.255,7.911,7.22,311553.0,603111
15,2014-08-22,7.084,6.883,7.135,6.805,209553.0,603111
16,2014-08-25,6.883,6.883,7.065,6.832,126993.0,603111
17,2014-08-26,6.778,6.634,6.852,6.599,120646.0,603111
18,2014-08-27,6.657,6.692,6.731,6.638,48779.0,603111
19,2014-08-28,6.669,6.58,6.712,6.568,60993.0,603111
20,2014-08-29,6.591,6.731,6.801,6.591,56786.0,603111
21,2014-09-01,6.704,7.015,7.053,6.704,98665.0,603111
22,2014-09-02,7.057,7.084,7.178,6.96,120628.0,603111
23,2014-09-03,7.092,7.096,7.213,7.046,86167.0,603111
24,2014-09-04,7.123,7.643,7.806,7.104,224607.0,603111
25,2014-09-05,7.554,7.438,7.589,7.325,150847.0,603111
26,2014-09-09,7.453,7.527,7.628,7.345,87398.0,603111
27,2014-09-10,7.473,7.834,7.931,7.414,128104.0,603111
28,2014-09-11,7.861,8.618,8.618,7.783,189042.0,603111
29,2014-09-12,8.598,8.575,8.835,8.463,160570.0,603111
30,2014-09-15,8.595,8.645,8.987,8.595,133918.0,603111
